Description,AICTE Category,Courses,Total Credits,Minimum Req,Remaining Credits
Basic Science courses,BSC,0,0,23,-23
"Engineering Science courses including workshop, drawing, basics of electrical/mechanical/computer etc.",ESC,0,0,29,-29
Humanities and Social Sciences including Management courses,HSMC,0,0,16,-16
Professional core courses,PCC-CS,0,0,59,-59
Professional Elective courses relevant to chosen specialization/branch,PEC-CS,0,0,12,-12
Open subjects – Electives from other technical and/or emerging subjects,OEC-CS,0,0,9,-9
"Project work, seminar and internship in industry or elsewhere",PROJ,0,0,15,-15
"Mandatory Courses [Environmental Sciences, Induction Program, Indian Constitution, Essence of Indian Knowledge Tradition]",MC,0,0,0,0
