,,,,,,,,,,,
,,,,,,,,,,,
Semester - 7,Course Name (as per Crescent),Category (APC),Credits (APC),Course Name (as per NxtWave),Pre-requisites,Category,Mode of Delivery,L,T,P,Credits
7,New,,,Distributed Systems with High-Level System Design,,PCC-CS,NxtWave,3,0,2,4
7,,,,Elective 3,,PEC-CS,NxtWave,3,0,0,3
7,Professional Elective Courses,PEC,12,Elective 4,,PEC-CS,NxtWave,3,0,0,3
7,Internship I,PROJ,1,Project 2/Internship 2,,PROJ,NxtWave,0,0,8,4
7,Open Elective II,OEC,3,Open Elective II,,OEC-CS,,,,,4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Semester - 8,Course Name (as per Crescent),Category (APC),Credits (APC),Course Name (as per NxtWave),Pre-requisites,Category,Mode of Delivery,L,T,P,Credits
8,New,,,Productionisation of ML systems,Introduction to Machine Learning,PCC-CS,NxtWave,2,0,4,4
8,Open Elective III,OEC,3,Open Elective III,,OEC-CS,,,,,4
8,Project Work,PROJ,9,Capstone Project/Internship,,PROJ,NxtWave,0,0,24,12
